,Carpetweeds,Crabgrass,Eclipta,Goosegrass,Morningglory,Nutsedge,PalmerAmaranth,PricklySida,Purslane,Ragweed,Sicklepod,SpottedSpurge,SpurredAnoda,Swinecress,Waterhemp
Carpetweeds,112,0,1,0,2,0,0,0,0,0,0,0,0,0,0
Crabgrass,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0
Eclipta,3,0,33,0,0,0,0,1,0,0,0,0,1,0,1
Goosegrass,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0
Morningglory,0,0,0,0,167,0,0,0,1,0,0,0,0,0,0
Nutsedge,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
PalmerAmaranth,0,0,0,0,5,0,95,0,1,1,0,0,1,0,1
PricklySida,0,0,0,0,1,0,2,16,0,0,0,1,0,0,0
Purslane,1,0,0,0,1,0,0,0,66,0,0,0,0,0,0
Ragweed,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0
Sicklepod,2,0,0,0,1,0,0,0,0,0,33,0,0,0,0
SpottedSpurge,0,0,0,0,0,0,0,1,1,0,0,34,0,0,0
SpurredAnoda,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0
Swinecress,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Waterhemp,0,0,2,0,0,0,0,0,0,0,0,0,0,0,66
